ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Laurus nobilis,VLE,2,12,-,-,-,,0.0016601,1.7736,-,-
Laurus nobilis,VLE,3,12,-,-,-,,0.0016601,1.7736,-,-
Laurus nobilis,VLE,4,12,-,-,-,,0.0016601,1.7736,-,-
Laurus nobilis,VLE,5,12,-,-,-,,0.0016601,1.7736,-,-
Acacia melanoxylon,VCC,1,1,18.95,0.0002621,-,-,-,-,-,
Acacia melanoxylon,VCC,2,1,18.95,0.0002621,-,-,-,-,-,
Acacia melanoxylon,VCC,3,1,18.95,0.0002621,-,-,-,-,-,
Acacia melanoxylon,VCC,4,1,18.95,0.0002621,-,-,-,-,-,
Acacia melanoxylon,VCC,5,1,18.95,0.0002621,-,-,-,-,-,
Acacia melanoxylon,VSC,1,7,0.26,0.8236223,2.33e-05,-,-,-,-,
Acacia melanoxylon,VSC,2,7,0.26,0.8236223,2.33e-05,-,-,-,-,
Acacia melanoxylon,VSC,3,7,0.26,0.8236223,2.33e-05,-,-,-,-,
Acacia melanoxylon,VSC,4,7,0.26,0.8236223,2.33e-05,-,-,-,-,
Acacia melanoxylon,VSC,5,7,0.26,0.8236223,2.33e-05,-,-,-,-,
Acacia melanoxylon,IAVC,1,21,-,-,0.0005067,-2.0718e-07,-,-,-,-
Acacia melanoxylon,IAVC,2,21,-,-,0.0005067,-2.0718e-07,-,-,-,-
Acacia melanoxylon,IAVC,3,21,-,-,0.0005067,-2.0718e-07,-,-,-,-
Acacia melanoxylon,IAVC,4,21,-,-,0.0005067,-2.0718e-07,-,-,-,-
Acacia melanoxylon,IAVC,5,21,-,-,0.0005067,-2.0718e-07,-,-,-,-
Acacia melanoxylon,VLE,1,12,-,-,-,,2.12e-05,2.52613,-,-
Acacia melanoxylon,VLE,2,12,-,-,-,,2.12e-05,2.52613,-,-
Acacia melanoxylon,VLE,3,12,-,-,-,,2.12e-05,2.52613,-,-
Acacia melanoxylon,VLE,4,12,-,-,-,,2.12e-05,2.52613,-,-
Acacia melanoxylon,VLE,5,12,-,-,-,,2.12e-05,2.52613,-,-
Acacia dealbata,VCC,2,1,18.95,0.0002621,-,-,-,-,-,
Acacia dealbata,VCC,3,1,18.95,0.0002621,-,-,-,-,-,
Acacia dealbata,VCC,5,1,18.95,0.0002621,-,-,-,-,-,
Acacia dealbata,VSC,2,7,0.26,0.8236223,2.33e-05,-,-,-,-,
Acacia dealbata,VSC,3,7,0.26,0.8236223,2.33e-05,-,-,-,-,
Acacia dealbata,VSC,5,7,0.26,0.8236223,2.33e-05,-,-,-,-,
Acacia dealbata,IAVC,2,21,-,-,0.0005067,-2.0718e-07,-,-,-,-
Acacia dealbata,IAVC,3,21,-,-,0.0005067,-2.0718e-07,-,-,-,-
Acacia dealbata,IAVC,5,21,-,-,0.0005067,-2.0718e-07,-,-,-,-
Acacia dealbata,VLE,2,12,-,-,-,,2.12e-05,2.52613,-,-
Acacia dealbata,VLE,3,12,-,-,-,,2.12e-05,2.52613,-,-
Acacia dealbata,VLE,5,12,-,-,-,,2.12e-05,2.52613,-,-
Salix atrocinerea,VCC,2,1,109.53,0.0001481,-,-,-,-,-,
Salix atrocinerea,VCC,3,1,109.53,0.0001481,-,-,-,-,-,
Salix atrocinerea,VCC,4,1,109.53,0.0001481,-,-,-,-,-,
Salix atrocinerea,VCC,5,1,109.53,0.0001481,-,-,-,-,-,
Salix atrocinerea,VCC,6,1,109.53,0.0001481,-,-,-,-,-,
Salix atrocinerea,VSC,2,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix atrocinerea,VSC,3,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix atrocinerea,VSC,4,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix atrocinerea,VSC,5,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix atrocinerea,VSC,6,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix atrocinerea,IAVC,2,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix atrocinerea,IAVC,3,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix atrocinerea,IAVC,4,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix atrocinerea,IAVC,5,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix atrocinerea,IAVC,6,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix atrocinerea,VLE,2,12,-,-,-,,0.0016601,1.7736,-,-
Salix atrocinerea,VLE,3,12,-,-,-,,0.0016601,1.7736,-,-
Salix atrocinerea,VLE,4,12,-,-,-,,0.0016601,1.7736,-,-
Salix atrocinerea,VLE,5,12,-,-,-,,0.0016601,1.7736,-,-
Salix atrocinerea,VLE,6,12,-,-,-,,0.0016601,1.7736,-,-
Salix caprea,VCC,2,1,109.53,0.0001481,-,-,-,-,-,
Salix caprea,VCC,3,1,109.53,0.0001481,-,-,-,-,-,
Salix caprea,VCC,4,1,109.53,0.0001481,-,-,-,-,-,
Salix caprea,VCC,5,1,109.53,0.0001481,-,-,-,-,-,
Salix caprea,VCC,6,1,109.53,0.0001481,-,-,-,-,-,
Salix caprea,VSC,2,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix caprea,VSC,3,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix caprea,VSC,4,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix caprea,VSC,5,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix caprea,VSC,6,7,-10.18,0.7888093,2.83e-05,-,-,-,-,
Salix caprea,IAVC,2,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix caprea,IAVC,3,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix caprea,IAVC,4,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix caprea,IAVC,5,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix caprea,IAVC,6,21,-,-,0.000165,-2.2648e-07,-,-,-,-
Salix caprea,VLE,2,12,-,-,-,,0.0016601,1.7736,-,-
Salix caprea,VLE,3,12,-,-,-,,0.0016601,1.7736,-,-
Salix caprea,VLE,4,12,-,-,-,,0.0016601,1.7736,-,-
Salix caprea,VLE,5,12,-,-,-,,0.0016601,1.7736,-,-
