ESPECIE,Parámetro,FORMA DE CUBICACIÓN,Model,A,B,C,D,P,Q,R,DNM
Eucalyptus nitens,VLE,3,12,-,-,-,-,4.4e-05,2.39055,-,-
Eucalyptus nitens,VLE,5,12,-,-,-,-,4.4e-05,2.39055,-,-
Eucalyptus robusta,VCC,2,1,3.44,0.0002632,-,-,-,-,-,-
Eucalyptus robusta,VSC,2,7,-1.72,0.811565,6.5e-06,-,-,-,-,-
Eucalyptus robusta,IAVC,2,17,-6.1869,0.290174,-0.0002113,-,-,-,-,-
Eucalyptus robusta,VLE,2,12,-,-,-,-,4.4e-05,2.39055,-,-
Castanea sativa,VCC,2,1,48.78,0.000247,-,-,-,-,-,-
Castanea sativa,VCC,3,1,9.21285,0.0001654,-,-,-,-,-,-
Castanea sativa,VCC,4,1,77.74,0.000134,-,-,-,-,-,-
Castanea sativa,VCC,5,1,77.74204,0.000134,-,-,-,-,-,-
Castanea sativa,VCC,6,1,77.74204,0.000134,-,-,-,-,-,-
Castanea sativa,VSC,2,7,-7.64,0.8690216,-4.4e-06,-,-,-,-,-
Castanea sativa,VSC,3,7,-7.64,0.8690216,-4.4e-06,-,-,-,-,-
Castanea sativa,VSC,4,7,-40.1,0.9121813,1.9e-06,-,-,-,-,-
Castanea sativa,VSC,5,7,-13.17,0.8749605,9.1e-06,-,-,-,-,-
Castanea sativa,VSC,6,7,-13.17,0.8749605,9.1e-06,-,-,-,-,-
Castanea sativa,IAVC,2,21,-,-,7.73e-05,-2.828e-08,-,-,-,-
Castanea sativa,IAVC,3,21,-,-,7.73e-05,-2.828e-08,-,-,-,-
Castanea sativa,IAVC,4,21,-,-,7.73e-05,-2.828e-08,-,-,-,-
Castanea sativa,IAVC,5,21,-,-,7.73e-05,-2.828e-08,-,-,-,-
Castanea sativa,IAVC,6,21,-,-,7.73e-05,-2.828e-08,-,-,-,-
Castanea sativa,VLE,2,12,-,-,-,-,2.12e-05,2.52613,-,-
Castanea sativa,VLE,3,12,-,-,-,-,2.12e-05,2.52613,-,-
Castanea sativa,VLE,4,12,-,-,-,-,2.12e-05,2.52613,-,-
Castanea sativa,VLE,5,12,-,-,-,-,2.12e-05,2.52613,-,-
Castanea sativa,VLE,6,12,-,-,-,-,2.12e-05,2.52613,-,-
Betula spp.,VCC,2,1,12.68,0.0002535,-,-,-,-,-,-
Betula spp.,VCC,3,1,12.68,0.0002535,-,-,-,-,-,-
Betula spp.,VCC,5,1,12.68,0.0002535,-,-,-,-,-,-
Betula spp.,VSC,2,7,2.55,0.7571656,8.57e-05,-,-,-,-,-
Betula spp.,VSC,3,7,2.55,0.7571656,8.57e-05,-,-,-,-,-
Betula spp.,VSC,5,7,2.55,0.7571656,8.57e-05,-,-,-,-,-
Betula spp.,IAVC,2,19,0.97928,0.0036818,0.0002202,-2.689e-07,-,-,-,-
Betula spp.,IAVC,3,19,0.97928,0.0036818,0.0002202,-2.689e-07,-,-,-,-
Betula spp.,IAVC,5,19,0.97928,0.0036818,0.0002202,-2.689e-07,-,-,-,-
Betula spp.,VLE,2,12,-,-,-,-,4.66e-05,2.38142,-,-
Betula spp.,VLE,3,12,-,-,-,-,4.66e-05,2.38142,-,-
Betula spp.,VLE,5,12,-,-,-,-,4.66e-05,2.38142,-,-
Betula alba,VCC,2,1,12.68,0.0002535,-,-,-,-,-,-
