ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Populus alba,VLE,5,12,-,-,-,0.0001247,2.16723,-,-,-
Alnus glutinosa,VCC,2,1,13.22,0.0002626,-,-,-,-,-,-
Alnus glutinosa,VCC,3,1,13.22,0.0002626,-,-,-,-,-,-
Alnus glutinosa,VCC,5,1,13.22,0.0002626,-,-,-,-,-,-
Alnus glutinosa,VSC,2,7,-4.07,0.9274491,2.6e-06,-,-,-,-,-
Alnus glutinosa,VSC,3,7,-4.07,0.9274491,2.6e-06,-,-,-,-,-
Alnus glutinosa,VSC,5,7,-4.07,0.9274491,2.6e-06,-,-,-,-,-
Alnus glutinosa,IAVC,2,19,5.24765,-0.0632009,0.0003085,-6.62e-08,-,-,-,-
Alnus glutinosa,IAVC,3,19,5.24765,-0.0632009,0.0003085,-6.62e-08,-,-,-,-
Alnus glutinosa,IAVC,5,19,5.24765,-0.0632009,0.0003085,-6.62e-08,-,-,-,-
Alnus glutinosa,VLE,2,12,-,-,-,0.0009308,1.83129,-,-,-
Alnus glutinosa,VLE,3,12,-,-,-,0.0009308,1.83129,-,-,-
Alnus glutinosa,VLE,5,12,-,-,-,0.0009308,1.83129,-,-,-
Fraxinus excelsior,VCC,2,1,37.56,0.0002307,-,-,-,-,-,-
Fraxinus excelsior,VCC,3,1,37.56,0.0002307,-,-,-,-,-,-
Fraxinus excelsior,VCC,4,1,37.56,0.0002307,-,-,-,-,-,-
Fraxinus excelsior,VCC,5,1,37.56,0.0002307,-,-,-,-,-,-
Fraxinus excelsior,VCC,6,1,37.56,0.0002307,-,-,-,-,-,-
Fraxinus excelsior,VSC,2,7,-14.85,0.8582139,3.9e-06,-,-,-,-,-
Fraxinus excelsior,VSC,3,7,-14.85,0.8582139,3.9e-06,-,-,-,-,-
Fraxinus excelsior,VSC,4,7,-14.85,0.8582139,3.9e-06,-,-,-,-,-
Fraxinus excelsior,VSC,5,7,-14.85,0.8582139,3.9e-06,-,-,-,-,-
Fraxinus excelsior,VSC,6,7,-14.85,0.8582139,3.9e-06,-,-,-,-,-
Fraxinus excelsior,IAVC,2,14,-,-,-,-,0.0001163,2.01036,-,-
Fraxinus excelsior,IAVC,3,14,-,-,-,-,0.0001163,2.01036,-,-
Fraxinus excelsior,IAVC,4,14,-,-,-,-,0.0001163,2.01036,-,-
Fraxinus excelsior,IAVC,5,14,-,-,-,-,0.0001163,2.01036,-,-
Fraxinus excelsior,IAVC,6,14,-,-,-,-,0.0001163,2.01036,-,-
Fraxinus excelsior,VLE,2,12,-,-,-,2.71e-05,2.51797,-,-,-
Fraxinus excelsior,VLE,3,12,-,-,-,2.71e-05,2.51797,-,-,-
Fraxinus excelsior,VLE,4,12,-,-,-,2.71e-05,2.51797,-,-,-
Fraxinus excelsior,VLE,5,12,-,-,-,2.71e-05,2.51797,-,-,-
Fraxinus excelsior,VLE,6,12,-,-,-,2.71e-05,2.51797,-,-,-
Salix caprea,VCC,2,1,109.53,0.0001481,-,-,-,-,-,-
Salix caprea,VCC,3,1,109.53,0.0001481,-,-,-,-,-,-
Salix caprea,VCC,4,1,109.53,0.0001481,-,-,-,-,-,-
Salix caprea,VCC,5,1,109.53,0.0001481,-,-,-,-,-,-
Salix caprea,VSC,2,7,-13.02,0.8673411,6.2e-06,-,-,-,-,-
Salix caprea,VSC,3,7,-13.02,0.8673411,6.2e-06,-,-,-,-,-
Salix caprea,VSC,4,7,-13.02,0.8673411,6.2e-06,-,-,-,-,-
Salix caprea,VSC,5,7,-13.02,0.8673411,6.2e-06,-,-,-,-,-
Salix caprea,IAVC,2,19,10.62655,-0.1512199,0.0007093,-7.8372e-07,-,-,-,-
Salix caprea,IAVC,3,19,10.62655,-0.1512199,0.0007093,-7.8372e-07,-,-,-,-
