ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,Modelo,A,B,C,D,P,Q,R,DNM
Eucalyptus nitens,VLE,5.0,12.0,-,-,-,-,4.4e-05,2.39055,-,-
Eucalyptus nitens,VCC,2.0,1.0,36.96,0.0002569,-,-,-,-,-,-
Eucalyptus nitens,VCC,3.0,1.0,-1.02,0.0002111,-,-,-,-,-,-
Eucalyptus nitens,VCC,5.0,1.0,21.5,0.000112,-,-,-,-,-,-
Eucalyptus nitens,VSC,2.0,7.0,0.6,0.7982737,8.5e-06,-,-,-,-,-
Eucalyptus nitens,VSC,3.0,7.0,0.05,0.7677083,0.0016267,-,-,-,-,-
Eucalyptus nitens,VSC,5.0,7.0,2.55,0.7571656,8.57e-05,-,-,-,-,-
Eucalyptus nitens,IAVC,2.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus nitens,IAVC,3.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus nitens,IAVC,5.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus nitens,VLE,2.0,12.0,-,-,-,-,0.0017465,1.73173,-,-
Eucalyptus nitens,VLE,3.0,12.0,-,-,-,-,0.0017465,1.73173,-,-
Eucalyptus nitens,VLE,5.0,12.0,-,-,-,-,0.0017465,1.73173,-,-
Eucalyptus nitens,VCC,2.0,1.0,3.44,0.0002632,-,-,-,-,-,-
Eucalyptus nitens,VCC,3.0,1.0,3.44,0.0002632,-,-,-,-,-,-
Eucalyptus nitens,VCC,5.0,1.0,3.44,0.0002632,-,-,-,-,-,-
Eucalyptus nitens,VSC,2.0,7.0,0.6,0.7982737,8.5e-06,-,-,-,-,-
Eucalyptus nitens,VSC,3.0,7.0,0.6,0.7982737,8.5e-06,-,-,-,-,-
Eucalyptus nitens,VSC,5.0,7.0,0.6,0.7982737,8.5e-06,-,-,-,-,-
Eucalyptus nitens,IAVC,2.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus nitens,IAVC,3.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus nitens,IAVC,5.0,21.0,-,-,0.0006658,-5.3678e-07,-,-,-,-
Eucalyptus nitens,VLE,2.0,12.0,-,-,-,-,0.0017465,1.73173,-,-
Eucalyptus nitens,VLE,3.0,12.0,-,-,-,-,0.0017465,1.73173,-,-
Eucalyptus nitens,VLE,5.0,12.0,-,-,-,-,0.0017465,1.73173,-,-
Ilex aquifolium,VCC,2.0,1.0,-7.75,0.0004006,-,-,-,-,-,-
Ilex aquifolium,VCC,3.0,1.0,-7.75,0.0004006,-,-,-,-,-,-
Ilex aquifolium,VCC,5.0,1.0,-7.75,0.0004006,-,-,-,-,-,-
Ilex aquifolium,VSC,2.0,7.0,2.55,0.7571656,8.57e-05,-,-,-,-,-
Ilex aquifolium,VSC,3.0,7.0,2.55,0.7571656,8.57e-05,-,-,-,-,-
Ilex aquifolium,VSC,5.0,7.0,2.55,0.7571656,8.57e-05,-,-,-,-,-
Ilex aquifolium,IAVC,2.0,21.0,-,-,0.0001674,-2.1045e-07,-,-,-,-
